lut,n_luts,n_entries,bits_per_entry,total_bits,total_bytes,total_kb,ramb18_usable_est,ramb36_usable_est
RMSNorm_A_global,1,1024,16,16384,2048,2.0,1,1
RMSNorm_B_per_layer_total,25,1024,16,409600,51200,50.0,25,13
